slug,name,fieldGroup,field,yearPosed,solveDate,model,modelMaker,aiContribution,resolutionMethod,verification,verification_route,lean_status,auto_tag,manual_verdict,significance,solveType,publication,harness_keyword_hits,think_hard_keyword_hits,trial_mentions,manual_rationale,sourceUrl
a-counterexample-to-han-s-conjecture,Han's Conjecture,Algebra,Homological algebra,2006,2026-07-31,GPT-5.6 Sol Ultra,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,25,disproved,preprint,,,,,https://arxiv.org/abs/2608.00177
son-pham,Huneke-Wiegand Conjecture,Algebra,Commutative Algebra,1994,2026-07-29,GPT-5.6-Pro,,ai-discovered,construction,expert-verified,expert-checked-construction,no-mention,no-signal,think-hard-construction-expert-verified,20,disproved,announcement,,,,"""Came up with the counterexample on [one] shot."" Construction verified by the conjecture's own author. One-shot counterexample, not a brute search.",https://github.com/sonpham-org/huneke-wiegand-candidate-verification
auslander-reiten-smalo-perfect-fields,Infinitely Many Components in Auslander–Reiten Quivers over Perfect Fields,Algebra,Representation Theory of Algebras,,2026-07-27,ChatGPT,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,20,proved,preprint,,,,,https://arxiv.org/abs/2607.24466
integral-invariant-cycles-degree-one,Integral Local Invariant Cycles in Degree One,Algebra,Algebraic geometry,2026,2026-05-17,QED (GPT-5.5),OpenAI,ai-discovered,argument,expert-verified,expert-read,no-mention,no-signal,think-hard-argument-expert-verified-thin,5,proved,preprint,,,,"""QED found an independent proof"" - matches the target pattern but the description is one line; low confidence due to sparse detail.",https://arxiv.org/abs/2604.24021
jacobian-conjecture,Jacobian Conjecture,Algebra,Algebraic Geometry,1939,2026-07-20,Claude Fable 5,Anthropic,ai-discovered,construction,expert-verified,expert-checked-construction,no-mention,harness-signal,,65,disproved,announcement,search,,,,https://officechai.com/ai/an-anthropic-researcher-says-fable-just-helped-him-disprove-the-85-year-old-jacobian-conjecture/
kourovka-18-50-permuted-products,Kourovka Problem 18.50 - Prescribed Permuted-Product Cardinality,Algebra,Group theory,2014,2026-07-20,Aristotle,Harmonic,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,15,proved,preprint,autonomous,,,,https://arxiv.org/abs/2607.17477
kourovka-19-25-totient-sums,Kourovka Problem 19.25 - Totient Sums and Simplicity,Algebra,Group theory,2018,2026-07-20,Aristotle,Harmonic,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,15,disproved,preprint,autonomous,,,,https://arxiv.org/abs/2607.17477
kourovka-20-125-rota-baxter,Kourovka Problem 20.125 - Noninjective Rota-Baxter Operator,Algebra,Group theory,2022,2026-07-20,Aristotle,Harmonic,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,14,proved,preprint,autonomous,,,,https://arxiv.org/abs/2607.17477
kourovka-21-147-relatively-convex,Kourovka Problem 21.147 - Relatively Convex Subgroups,Algebra,Group theory,2026,2026-07-20,Aristotle,Harmonic,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,13,disproved,preprint,autonomous,,,,https://arxiv.org/abs/2607.17477
kourovka-21-150-rank-inequality,Kourovka Problem 21.150 - Rank Inequality for p-Group Extensions,Algebra,Group theory,2026,2026-07-20,Aristotle,Harmonic,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,13,disproved,preprint,autonomous,,,,https://arxiv.org/abs/2607.17477
kourovka-21-24-power-graph-cograph,Kourovka Problem 21.24 - Cograph Power Graphs Are Chordal,Algebra,Group theory,2026,2026-07-20,Aristotle,Harmonic,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,13,proved,preprint,autonomous,,,,https://arxiv.org/abs/2607.17477
kourovka-21-8-class-transpositions,Kourovka Problem 21.8 - Horizontal Class Transpositions,Algebra,Group theory,2026,2026-07-20,Aristotle,Harmonic,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,13,proved,preprint,autonomous,,,,https://arxiv.org/abs/2607.17477
kourovka-3-46-locally-soluble,Kourovka Problem 3.46 - Maximal Locally Soluble Normal Subgroups,Algebra,Group theory,1969,2026-07-20,Aristotle,Harmonic,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,16,proved,preprint,autonomous,,,,https://arxiv.org/abs/2607.17477
local-cohomology-nonclosed-support,Local Cohomology Modules With Nonclosed Support,Algebra,"Commutative Algebra, Local Cohomology",,2026-07-30,ChatGPT 5.5 / 5.6,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,25,proved,preprint,,,,,https://arxiv.org/abs/2607.28096
pure-o-sequences-log-concavity,Log-Concavity of Codimension-Three Pure O-Sequences,Algebra,Commutative algebra,2022,2026-05-21,AlphaProof Nexus,Google DeepMind,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,10,proved,preprint,autonomous,,,,https://arxiv.org/abs/2605.22763
manin-diagonal-cubic-r-equivalence,Manin's Question on R-Equivalence for the Diagonal Cubic,Algebra,Arithmetic geometry,1972,2026-03-19,"Gemini 3 Deep Think, AlphaEvolve",Google DeepMind,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,15,proved,preprint,search,,,,https://arxiv.org/abs/2603.19215
rethlas-commutative-algebra-problems,Open Problems in Commutative Algebra Resolved by Rethlas,Algebra,Commutative algebra,,2026-05-24,Rethlas,Frenzy Math,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2605.25259
ran-teng-conjecture-20,Ran-Teng Conjecture 20 on 4-Cycle Stochastic Matrices,Algebra,Matrix analysis,2024,2026-02-24,ChatGPT-5.2 Thinking,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,5,proved,preprint,search,,,,https://arxiv.org/abs/2602.18918
hodge-bundle-simplicity,Simplicity of the Hodge Bundle,Algebra,Algebraic geometry,2015,2026-03-21,Aletheia (Gemini Deep Think),Google DeepMind,ai-discovered,argument,expert-verified,expert-read,no-mention,mixed-signal,think-hard-argument-expert-verified,15,proved,peer-reviewed,agent,single prompt,,"Explicit: ""a single prompt asking for a proof; the author verified."" Clean target case.",https://arxiv.org/abs/2603.19052
lamplighter-stability-radius,Stability Radius of the Lamplighter Group,Algebra,Group theory,,2026-07-22,"ChatGPT 5.5, Aristotle",OpenAI / Harmonic,ai-co-developed,argument,unreviewed,unreviewed-argument,mentioned-not-tiered,no-signal,,10,proved,preprint,,,64 prompts,,https://arxiv.org/abs/2607.20135
purely-prime-not-purely-maximal-counterexample,Tarizadeh's Conjecture on the Maximality of Purely-Prime Ideals,Algebra,Commutative algebra,,2026-08-14,ChatGPT Pro,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,8,disproved,preprint,,,,,https://arxiv.org/abs/2608.14251
generalized-vanishing-conjecture-five-variables,The Generalized Vanishing Conjecture,Algebra,Commutative algebra; differential operators,2007,2026-08-07,GPT-5.6 Sol,OpenAI,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,15,disproved,preprint,search,,,,https://arxiv.org/abs/2608.07338
kim-roush-permanent-odd-order,The Kim-Roush Conjecture on the Maximum of per(I-A) in Odd Order,Algebra,Matrix theory,1981,2026-08-09,GPT-5.6 Sol and Claude Fable 5,"OpenAI, Anthropic",ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,20,proved,preprint,,,,,https://arxiv.org/abs/2608.08933
liu-morin-extension-conjecture,The Liu-Morin Extension Conjecture,Algebra,Homological algebra,,2026-07-23,Claude Fable 5,Anthropic,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,15,proved,preprint,search,,,,https://arxiv.org/abs/2607.20849
period-index-conjecture,The Period-Index Conjecture,Algebra,Algebraic geometry,,2026-08-04,ChatGPT,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,30,disproved,preprint,,,,,https://arxiv.org/abs/2608.03684
separable-jacobian-conjecture-characteristic-two,The Separable Jacobian Conjecture in Characteristic 2,Algebra,Affine algebraic geometry,,2026-07-23,ChatGPT 5.6 Sol,OpenAI,ai-co-developed,construction,site-confirmed,site-reproduced,no-mention,no-signal,,25,disproved,preprint,,,,,https://arxiv.org/abs/2607.20968
virtual-surjection-conjecture,The Virtual Surjection Conjecture for Discrete Groups,Algebra,Geometric group theory,2013,2026-07-20,GPT,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,20,proved,preprint,,,,,https://arxiv.org/abs/2607.18079
amenability-base-field-independence,Whether Amenability of an Algebra Depends on the Ground Field,Algebra,Noncommutative algebra,2015,2026-08-08,ChatGPT 5.6 Sol,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,10,proved,preprint,,,,,https://arxiv.org/abs/2608.08161
howson-not-strongly-howson,Zhang's Question on Howson and Strongly Howson Groups,Algebra,Group theory,,2026-05-29,ChatGPT,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,9,disproved,preprint,,,,,https://arxiv.org/abs/2605.30840
two-terminal-reliability-fpras,Approximating Two-Terminal Network Reliability,Algorithms & optimization,Randomized algorithms,1994,2026-08-03,GPT-5.6 Sol Ultra,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,25,proved,preprint,,,,,https://arxiv.org/abs/2608.02523
fair-and-efficient-balanced-allocations-for-additive-valuations,Balanced EF1 and fPO Allocations,Algorithms & optimization,Fair division; algorithmic game theory,2026,2026-08-06,"GPT-5.6-Sol (via OpenAI Codex), Claude Fable 5","OpenAI, Anthropic",ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,10,proved,preprint,search,,,,https://arxiv.org/abs/2608.06325
bounded-oracle-noise-nonconvex-lower-bound,Bounded Oracle Error in Nonconvex Stochastic Optimization,Algorithms & optimization,Stochastic optimization,2023,2026-08-10,GPT-5.6 Sol,OpenAI,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,12,proved,preprint,,,,,https://arxiv.org/abs/2608.09004
prim-dijkstra-manhattan-complexity,Complexity of Terminal-Only Manhattan Prim-Dijkstra Routing,Algorithms & optimization,Computational complexity,1995,2026-07-18,GPT-5.6 Sol in Codex,OpenAI,ai-discovered,argument,unreviewed,unreviewed-argument,mentioned-not-tiered,harness-signal,,10,proved,preprint,search,,,,https://arxiv.org/abs/2607.17005
three-block-admm-identity-block-counterexample,Convergence of Three-Block ADMM with Identity Third Block,Algorithms & optimization,Optimization - splitting methods,2016,2026-08-14,GPT-5.6 Sol (Codex),OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,15,disproved,preprint,,,,,https://arxiv.org/abs/2608.14396
dinitz-garg-goemans-unsplittable-flow,Dinitz-Garg-Goemans Conjecture,Algorithms & optimization,Combinatorial Optimization,1999,2026-07-22,GPT-5.6 Pro,OpenAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,20,disproved,announcement,search,,,,https://x.com/DmitryRybin1/status/2079904005652893709
facial-distance-patterns-planar,Facial Distance Patterns in Planar Graphs,Algorithms & optimization,Planar graph algorithms,2022,2026-08-07,GPT-5.6 Sol,OpenAI,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,think-hard-signal,think-hard-argument-unreviewed,15,proved,preprint,,single prompt,,"Explicit single prompt; authors' own words: ""surprising (not to say embarrassing) that this open problem has such a simple proof."" Paper section literally titled ""The ChatGPT Proof."" Not yet independently verified beyond the authors (verification=unreviewed) - a real, if early-stage, target case.",https://arxiv.org/abs/2608.07187
anchored-gda-last-iterate,Last-Iterate Rate for Anchored Gradient Descent-Ascent,Algorithms & optimization,Convex optimization,2019,2026-04-04,AlphaProof Nexus,Google DeepMind,ai-discovered,argument,lean-verified,lean,tiered-lean-verified,harness-signal,,10,proved,preprint,agent; search,,,,https://arxiv.org/abs/2604.03782
derivative-free-convex-oracle-gap,Oracle-Complexity Gap in Derivative-Free Convex Optimization,Algorithms & optimization,Optimization (Oracle Complexity),1996,2026-07-14,GPT-5.6 Sol Pro,OpenAI,ai-discovered,argument,unreviewed,unreviewed-argument,mentioned-not-tiered,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2607.13335
nesterov-point-convergence,Point Convergence of Nesterov's Accelerated Gradient Method,Algorithms & optimization,Convex optimization,1983,2025-10-27,GPT-5 Pro,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,32,proved,preprint,,,,,https://arxiv.org/abs/2510.23513
mais-o60-fourier-alignment,Problem MAIS-O60: Single-Neuron Fourier Alignment,Algorithms & optimization,Neural network training dynamics,2026,2026-08-05,GPT-5.6 Sol,OpenAI,ai-assisted,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,5,disproved,preprint,,,,,https://arxiv.org/abs/2608.04451
eulerian-tour-sampling-barrier,The Arborescence-Sampling Barrier for Eulerian Tours,Algorithms & optimization,Randomized algorithms,,2026-05-28,"GPT-5.5 Pro Extended, Codex",OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2605.29566
psd-permanent-optimal-approximation,The Optimal Approximation Ratio for Permanents of PSD Matrices,Algorithms & optimization,Approximation algorithms,,2026-05-21,GPT 5.5 Pro Extended,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,think-hard-signal,think-hard-argument-mixed,28,proved,preprint,,one-shot,,"Two authors, two styles: one one-shot, one high-level-guided iteration - same result. Partial match; illustrates that ""one-shot"" and ""guided"" can converge on the same proof.",https://arxiv.org/abs/2605.21946
papamanthou-tollis-st-orientation,The Papamanthou-Tollis Conjecture on Parameterized st-Orientations,Algorithms & optimization,Graph algorithms,2008,2026-06-12,Claude Sonnet 4.6,Anthropic,ai-co-developed,construction,site-confirmed,site-reproduced,no-mention,harness-signal,,10,disproved,preprint,search,,,,https://arxiv.org/abs/2606.14539
ramachandra-natarajan-correlation-gap,The Ramachandra-Natarajan Pairwise Independent Correlation Gap Conjecture,Algorithms & optimization,Optimization,2025,2026-06-18,GPT-5.5 Pro,OpenAI,ai-discovered,construction,lean-checked,lean,tiered-lean-checked,no-signal,,7,disproved,preprint,,,,,https://arxiv.org/abs/2606.19663
yun-sra-jadbabaie-shuffling-inequalities,The Yun-Sra-Jadbabaie SS-RS-GD Inequalities,Algorithms & optimization,Optimization,2021,2026-06-16,GPT-5.5 Pro (extended),OpenAI,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2607.22620
thiele-voter-interval,Thiele Rules on the Voter Interval Domain,Algorithms & optimization,Computational social choice,2015,2026-04-07,Gemini Deep Think,Google DeepMind,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,12,proved,preprint,,,,,https://arxiv.org/abs/2604.05953
online-vertex-cover-edge-arrivals,Tight Bound for Online Vertex Cover under Edge Arrivals,Algorithms & optimization,Online algorithms,,2026-08-05,GPT-5.6 Sol,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2608.04994
iid-list-update-transposition,Transposition is Nearly Optimal for IID List Update,Algorithms & optimization,Online algorithms,1976,2026-03-10,GPT-5 Pro,OpenAI,ai-assisted,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,15,proved,preprint,,,,,https://arxiv.org/abs/2603.10244
monotone-vi-pth-order-complexity,pth-Order Oracle Complexity for Monotone Variational Inequalities,Algorithms & optimization,Variational inequalities,2012,2026-08-09,Claude Opus 4.6 and GPT-5.6 Sol,"Anthropic, OpenAI",ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,12,proved,preprint,,,,,https://arxiv.org/abs/2608.08463
unital-banach-algebra-not-a-calkin-algebra,A Unital Banach Algebra That Is Not a Calkin Algebra,Analysis,"Banach Algebras, Operator Theory",,2026-07-19,ChatGPT 5.5 Pro,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,15,proved,preprint,agent,,,,https://arxiv.org/abs/2607.17388
a-counterexample-to-the-howland-kato-problem-for-positive-commutators,A counterexample to the Howland-Kato problem for positive commutators,Analysis,Operator theory,1991,2026-08-07,Grok 4.5,xAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,25,disproved,preprint,agent,,,,https://arxiv.org/pdf/2608.07805
banach-s-isometric-conjecture,Banach's isometric conjecture,Analysis,Functional analysis,1932,2026-08-13,"ChatGPT 5.6 Pro, ChatGPT 5.5 Pro",OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,iterative-human-guided,40,proved,preprint,,,,"""Extensive interactions"" over what was already a human-reduced problem - real back-and-forth dialogue, not a single prompt and not an autonomous harness either. A genuine third category between think-hard and harness.",https://arxiv.org/abs/2608.13536
belinskaya-theorem-measure-preserving-flows,Belinskaya's Theorem for Measure-Preserving Flows,Analysis,"Ergodic Theory, Orbit Equivalence",,2026-07-16,GPT-5 + Claude Opus 4,,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,harness-signal,,20,proved,preprint,agent; autonomous; search,,,,https://arxiv.org/abs/2607.14444
green-open-problem-57,Ben Green's Open Problem 57,Analysis,Higher-order Fourier analysis,2024,2026-05-21,AlphaProof Nexus,Google DeepMind,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,harness-signal,,15,disproved,preprint,autonomous,,,,https://arxiv.org/abs/2605.22763
brezis-degree-inequality-constants,Brezis's Problems on Degenerate Constants in Degree Inequalities,Analysis,Calculus of variations,,2026-05-23,Rethlas,Frenzy Math,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,20,proved,preprint,,,,,https://arxiv.org/abs/2605.24626
carbery-almost-orthogonality,Carbery's Almost-Orthogonality Inequality in Lp,Analysis,Functional analysis,2009,2026-05,"Grok Heavy, Grok 4.20 Heavy",xAI,ai-discovered,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,15,disproved,preprint,brute; search,,,,https://arxiv.org/abs/2605.05192
dynamical-sampling-normal-orbit-frame,Conjecture 3 of the Dynamical Sampling Survey,Analysis,Frame theory,2026,2026-06-18,ChatGPT,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,no-signal,,8,disproved,preprint,,,,,https://arxiv.org/abs/2606.20848
crouzeix-s-conjecture,Crouzeix's Conjecture,Analysis,Matrix analysis,2004,2026-07-27,GPT-5.6 Sol; ChatGPT 5.6 Pro,OpenAI,ai-discovered,argument,expert-verified,expert-read,mentioned-not-tiered,harness-signal,harness-multiagent,35,proved,preprint,agent; autonomous; subagent,,,"Explicit: sixteen-hour autonomous run, branching portfolio of subagent strategies, adversarial audit, no human intervention once started. Clear harness; reused the Cycle Double Cover prompt template.",https://www.preprints.org/manuscript/202607.1919
erdos-1039,Erdős Problem #1039,Analysis,Complex Analysis,1958,2026-05-17,"GPT-5.5 Pro, Codex 5.5",OpenAI,ai-co-developed,argument,lean-verified,lean,tiered-lean-verified,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/1039
erdos-1153,Erdős Problem #1153,Analysis,"Analysis, Polynomials",1961,2026-03-24,"AlphaEvolve, Claude, Gemini Pro, GPT-5.2 Thinking, GPT-5.4 Pro",,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,10,proved,announcement,,,,,https://www.erdosproblems.com/1153
erdos-119,Erdős Problem #119,Analysis,"Analysis, Polynomials",1957,2026-07,GPT-5.6,OpenAI,ai-assisted,argument,site-confirmed,site-reproduced,mentioned-not-tiered,no-signal,,13,proved,announcement,,,,,https://www.erdosproblems.com/119
erdos-1197,Erdős Problem #1197,Analysis,Analysis,1980,2026-06-21,"Aristotle, Claude Opus 4.7, GPT-5.4 Pro",,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,no-signal,,10,disproved,announcement,,,,,https://www.erdosproblems.com/1197
erdos-987,Erdős Problem #987,Analysis,"Analysis, Discrepancy",1964,2026-04-09,OpenAI internal model,,ai-discovered,argument,site-confirmed,site-reproduced,no-mention,no-signal,,11,proved,announcement,,,,,https://www.erdosproblems.com/987
erdos-990,Erdős Problem #990,Analysis,Analysis,1964,2026-04-09,OpenAI internal model,,ai-discovered,construction,lean-verified,lean,tiered-lean-verified,no-signal,,10,disproved,announcement,,,,,https://www.erdosproblems.com/990
gabor-frames-totally-positive,Gabor Frames of Totally Positive Functions,Analysis,Time-frequency analysis,2013,2026-08-05,GPT-5.4,OpenAI,ai-assisted,argument,lean-checked,lean,tiered-lean-checked,no-signal,,25,proved,preprint,,,,,https://arxiv.org/abs/2608.04992
gamow-liquid-drop-minimizer-conjecture,Gamow liquid-drop minimizer conjecture,Analysis,Calculus of variations and geometric measure theory,,2026-08-12,ChatGPT 5.6 Pro,OpenAI,ai-discovered,argument,unreviewed,unreviewed-argument,no-mention,think-hard-signal,think-hard-argument-authors-checked,35,proved,preprint,,immediately,,"""Series of chats"" (not literally one-shot) with proof strategy staying close to model output; authors reworked and verified, explicitly state no AI-written text in the final paper. Borderline: more dialogue than one-shot, but no search/harness language.",https://arxiv.org/abs/2608.11517
hrt-conjecture,HRT Conjecture,Analysis,Harmonic Analysis,1996,2026-08-05,GPT-5.6 Pro,OpenAI,ai-co-developed,construction,unreviewed,unreviewed-construction/computation,no-mention,harness-signal,,33,disproved,preprint,search,,,,https://arxiv.org/abs/2608.05044
ji-zhang-power-set-question,Ji-Zhang Question on the Power Set of a Quasinilpotent Operator,Analysis,Operator theory,,2026-07-18,Claude Opus,Anthropic,ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,9,proved,preprint,,,,,https://arxiv.org/abs/2607.16743
kalton-peck-space-hyperplanes,Kalton-Peck Space and its Hyperplanes,Analysis,Banach space theory,,2026-08-03,GPT-5.5 Pro-Extended,OpenAI,ai-co-developed,argument,unreviewed,unreviewed-argument,mentioned-not-tiered,no-signal,,25,proved,preprint,,,,,https://arxiv.org/abs/2608.02126
lorist-schwenninger-remark-2-positivity-question,Lorist-Schwenninger Remark 2 positivity question,Analysis,Numerical range / Crouzeix's conjecture,2026,2026-08-14,Claude Opus 5.0,Anthropic,ai-discovered,construction,site-confirmed,site-reproduced,no-mention,harness-signal,,4,disproved,announcement,search,,,,https://arxiv.org/abs/2608.03841
tao-lebesgue-constants,Lower Bounds for Lebesgue Constants and an Erdős-Turán Interpolation Problem,Analysis,Approximation theory,1937,2026-03-23,"AlphaEvolve, ChatGPT","Google DeepMind, OpenAI",ai-co-developed,argument,unreviewed,unreviewed-argument,no-mention,no-signal,,18,proved,preprint,,,,,https://arxiv.org/abs/2603.21453
